,coef,nulls,distinct_count,mean,mean_rej,mean_app,std_dev,top10Values,dtype,i
secondary_focus_subject_Character Education,-0.17637147216215385,0,2,0.017680679450884033,0.018001175150900058,0.017360183750868008,0.13178974506193017,"0    36780
1      662
dtype: int64",float64,123
school_state_OK,-0.1758974393945549,0,2,0.02270177875113509,0.021793707601089684,0.023609849901180494,0.14895301461375657,"0    36592
1      850
dtype: int64",float64,66
school_metro_rural,0.1752813471083066,0,2,0.12096041878104802,0.11954489610597724,0.1223759414561188,0.32608562645012934,"0    32913
1     4529
dtype: int64",float64,81
primary_focus_area_Music & The Arts,-0.16720555421045388,0,2,0.08316863415415843,0.07387425885369371,0.09246300945462316,0.2761406326994312,"0    34328
1     3114
dtype: int64",float64,120
primary_focus_subject_Sports,0.1646565535326779,0,2,0.005822338550291117,0.006890657550344533,0.004754019550237701,0.0760828070309455,"0    37224
1      218
dtype: int64",float64,113
school_state_AK,-0.16344514093255205,0,2,0.0024037177501201857,0.002350301800117515,0.0024571337001228566,0.04896941838461167,"0    37352
1       90
dtype: int64",float64,30
school_nlns,0.16279135259085803,0,2,0.013727899150686396,0.014262058650713103,0.013193739650659687,0.1163606701440968,"0    36928
1      514
dtype: int64",float64,10
dollarbool,-0.1611976994966766,0,2,0.014609262325730463,0.0193899898509695,0.009828534800491426,0.11998423343845145,"0    36895
1      547
dtype: int64",float64,3
school_state_AR,0.16087204238444217,0,2,0.010923561775546178,0.011804924950590247,0.01004219860050211,0.10394482257763525,"0    37033
1      409
dtype: int64",float64,32
secondary_focus_area_Health & Sports,0.16004826670392963,0,2,0.026627851076331394,0.030073179851503658,0.023182522301159126,0.16099534428290055,"0    36445
1      997
dtype: int64",float64,150
school_state_WA,0.15893526933911098,0,2,0.015864537150793227,0.013514235350675712,0.018214838950910743,0.1249530736341667,"0    36848
1      594
dtype: int64",float64,77
resource_type_mv,-0.15700669379428428,0,2,0.00435339992521767,0.008599967950429999,0.0001068319000053416,0.06583740275652664,"0    37279
1      163
dtype: int64",float64,25
school_state_NJ,-0.14908562605534872,0,2,0.01658565247582928,0.01602478500080124,0.017146519950857326,0.12771454201332688,"0    36821
1      621
dtype: int64",float64,61
primary_focus_subject_Foreign Languages,0.1461434064112496,0,2,0.010709897975535496,0.013247155600662358,0.008172640350408633,0.1029343433683752,"0    37041
1      401
dtype: int64",float64,98
secondary_focus_subject_Community Service,0.1440041043907842,0,2,0.006062710325303136,0.006944073500347204,0.0051813471502590676,0.07762805429829096,"0    37215
1      227
dtype: int64",float64,126
school_state_CT,0.13575851833346245,0,2,0.011244057475562202,0.011270765450563538,0.011217349500560867,0.10544157426900942,"0    37021
1      421
dtype: int64",float64,36
primary_focus_area_Math & Science,0.1329180423337824,0,2,0.267079750013354,0.2743443192137172,0.25981518081299076,0.44244026186896684,"0    27442
1    10000
dtype: int64",float64,119
